,K-12,CFT073,UMN026,UTI89,536,Residual,Gene Name,Description
PROKKA_00029,b1492,c1921,ECUMN_1746,UTI89_C1706,ECP_RS07575,-1.3048511968705443,gadC,L-glutamate:4-aminobutyrate antiporter
PROKKA_02650,b3478,c4271,ECUMN_3959,UTI89_C3995,ECP_RS18225,-1.3042680364172015,nikC,Ni(2(+)) ABC transporter membrane subunit NikC
PROKKA_04783,b1544,c3145,ECUMN_1811,,,-1.3027833313403434,ydfK,Qin prophage; cold shock protein YdfK
PROKKA_03554,b2677,c3230,ECUMN_3003,UTI89_C3037,ECP_RS13515,-1.2959650779043983,proV,glycine betaine ABC transporter ATP binding subunit ProV
PROKKA_03024,b3116,c3874,ECUMN_3600,UTI89_C3551,ECP_RS16360,-1.2954338222740578,tdcC,threonine/serine:H(+) symporter
PROKKA_04863,,,ECUMN_p10139,UTI89_P069,,-1.2913889914066465,yccB,hypothetical protein
PROKKA_00326,b1224,c1685,ECUMN_1523,UTI89_C1421,ECP_RS06465,-1.2854286614504165,narG,nitrate reductase A subunit alpha
PROKKA_01214,b0293,c0404,ECUMN_0327,UTI89_C0309,ECP_RS01790,-1.280703573319063,ecpA,common pilus major subunit
PROKKA_00920,b0616,c0706,ECUMN_0709,UTI89_C0620,ECP_RS03225,-1.2781785568429695,citE,citrate lyase beta subunit
PROKKA_04379,b1901,c2314,ECUMN_2195,UTI89_C2101,ECP_RS09440,-1.2770060642222263,araF,arabinose ABC transporter periplasmic binding protein
PROKKA_01494,b0063,c0075,ECUMN_0064,UTI89_C0068,ECP_RS00330,-1.2719342187833347,araB,ribulokinase
PROKKA_04864,,,ECUMN_p10137,UTI89_P075,,-1.2523719148673682,,hypothetical protein
PROKKA_00921,b0615,c0704,ECUMN_0708,UTI89_C0618,ECP_RS03220,-1.2509418089280588,citF,citrate lyase alpha subunit
PROKKA_03152,b2997,c3734,ECUMN_3481,UTI89_C3419,ECP_RS15715,-1.2504417197057112,hybO,hydrogenase 2 small subunit
PROKKA_02769,b3365,c4141,ECUMN_3828,UTI89_C3869,ECP_RS17625,-1.2479812020625154,nirB,nitrite reductase catalytic subunit NirB
PROKKA_01820,b4198,c5288,ECUMN_4731,UTI89_C4798,ECP_RS22630,-1.2460194391195982,ulaF,L-ribulose-5-phosphate 4-epimerase UlaF
PROKKA_03090,b3050,c3798,ECUMN_3532,UTI89_C3486,ECP_RS16015,-1.2436392070554647,yqiJ,putative inner membrane protein
PROKKA_00325,b1225,c1686,ECUMN_1524,UTI89_C1422,ECP_RS06470,-1.2416130734408972,narH,nitrate reductase A subunit beta
PROKKA_01256,,,ECUMN_0271,,,-1.2368221232409304,lfgC,putative Flagellar basal-body rod protein flgC (proximal rod protein)
PROKKA_01956,b4073,c5069,ECUMN_4609,UTI89_C4663,ECP_RS21945,-1.234075149450225,nrfD,putative menaquinol-cytochrome c reductase subunit NrfD
PROKKA_03309,b4684,c3466,,UTI89_C3273,ECP_RS14720,-1.224951703463852,yqfG,uncharacterized protein YqfG
PROKKA_04220,,,ECUMN_2334,,,-1.222384922575415,,"putative propanediol utilization protein, polyhedral bodies (pduA-like)"
PROKKA_01898,b4123,c5128,ECUMN_4655,UTI89_C4716,ECP_RS22245,-1.2115758103448275,dcuB,anaerobic C4-dicarboxylate transporter DcuB
PROKKA_00044,b1474,c5623,ECUMN_1727,UTI89_C1689,ECP_RS07510,-1.2052672921917076,fdnG,formate dehydrogenase N subunit alpha
PROKKA_02604,b3516,c4327,ECUMN_4017,UTI89_C4048,ECP_RS18425,-1.2037437712783947,gadX,DNA-binding transcriptional dual regulator GadX
PROKKA_03503,b2724,c3284,ECUMN_3046,UTI89_C3087,ECP_RS13755,-1.1944373663740242,hycB,formate hydrogenlyase subunit HycB
PROKKA_03757,b2454,c2979,ECUMN_2766,UTI89_C2778,ECP_RS12580,-1.1832192469770297,eutJ,"putative chaperonin, ethanolamine utilization protein"
PROKKA_04755,,,ECUMN_1831,UTI89_C5118,,-1.180651041060132,,hypothetical protein
PROKKA_04151,b2054,c2580,ECUMN_2390,UTI89_C2328,ECP_RS10665,-1.1801294469606851,wcaF,putative acyl transferase
PROKKA_04515,b1769,c2173,ECUMN_2058,UTI89_C1965,ECP_RS08770,-1.170486273693622,ydjE,putative transporter YdjE
PROKKA_00324,b1226,c1687,ECUMN_1525,UTI89_C1423,ECP_RS06475,-1.1703337800811742,narJ,nitrate reductase 1 molybdenum cofactor assembly chaperone
PROKKA_03981,b2206,c2745,ECUMN_2541,UTI89_C2484,ECP_RS11445,-1.1672989432938707,napA,periplasmic nitrate reductase subunit NapA
PROKKA_01513,b0044,c0054,ECUMN_0046,UTI89_C0050,ECP_RS00235,-1.1658608571494822,fixX,putative ferredoxin FixX
PROKKA_02684,,c4234,ECUMN_3907,UTI89_C3952,ECP_RS18040,-1.16281092261791,yrhA,Hypothetical protein yrhA
PROKKA_03026,b3114,c3872,ECUMN_3598,UTI89_C3549,ECP_RS16350,-1.1611143789754976,tdcE,2-ketobutyrate formate-lyase/pyruvate formate-lyase 4
PROKKA_00337,b4419 b4421 b4423,,ECUMN_1513,,ECP_RS06415,-1.1608840774682592,ldrA,small toxic polypeptide LdrA
PROKKA_00323,b1227,c1688,ECUMN_1526,UTI89_C1424,ECP_RS06480,-1.1604347530481323,narI,nitrate reductase A subunit gamma
PROKKA_03979,b2208,c2747,ECUMN_2543,UTI89_C2486,ECP_RS11455,-1.1535631979673533,napF,ferredoxin-type protein
PROKKA_01904,b4116,c5121,ECUMN_4648,UTI89_C4710,ECP_RS22210,-1.1484167795225384,adiY,DNA-binding transcriptional activator AdiY
PROKKA_00800,b4515,,,UTI89_C0730,ECP_RS03745,-1.1381332881128379,cydX,cytochrome bd-I ubiquinol oxidase subunit CydX
PROKKA_03326,b2872,c3450,ECUMN_3215,UTI89_C3257,ECP_RS14635,-1.137487326388105,ygeY,putative peptidase YgeY
PROKKA_01611,b4358,c5437,ECUMN_4981,UTI89_C5064,ECP_RS23800,-1.1344691138779663,lgoD,L-galactonate oxidoreductase
PROKKA_02905,b3241,c3996,ECUMN_3715,UTI89_C3672,ECP_RS16930,-1.1343987233395803,aaeA,aromatic carboxylic acid efflux pump membrane fusion protein
PROKKA_01888,b4132,c5141,ECUMN_4666,UTI89_C4729,ECP_RS22300,-1.1228353903316375,cadB,lysine:cadaverine antiporter
PROKKA_00993,b0520,c0634,ECUMN_0560,UTI89_C0548,ECP_RS02885,-1.1225198237588032,ylbF,DUF2877 domain-containing protein YlbF
PROKKA_01218,b0290,c0401,ECUMN_0324,UTI89_C0306,ECP_RS01775,-1.1196038016906138,ecpD,fimbrial adhesin EcpD
PROKKA_01144,b0375,c0479,ECUMN_0411,UTI89_C0390,ECP_RS02165,-1.112798494505768,iprA,putative DNA-binding transcriptional regulator IprA
PROKKA_01514,b0043,c0053,ECUMN_0045,UTI89_C0049,ECP_RS00230,-1.1116980215926962,fixC,putative oxidoreductase FixC
PROKKA_02614,b3510,c4321,ECUMN_4010,UTI89_C4041,ECP_RS18390,-1.1067822283056925,hdeA,"HdeA monomer, chaperone active form"
PROKKA_01957,b4072,c5068,ECUMN_4608,UTI89_C4662,ECP_RS21940,-1.1048260656964066,nrfC,putative menaquinol-cytochrome c reductase 4Fe-4S subunit
PROKKA_02626,b3506,c4304,ECUMN_3997,UTI89_C4024,ECP_RS18325,-1.1046611469861425,slp,starvation lipoprotein
PROKKA_03519,b2710,,ECUMN_3031,UTI89_C3072,ECP_RS13680,-1.1026433070279436,norV,anaerobic nitric oxide reductase flavorubredoxin
PROKKA_00245,,c1446 c1570,ECUMN_1344,UTI89_C1313 UTI89_C1498,,-1.0997419415066778,,Putative DNA packaging protein of prophage
PROKKA_03153,b2996,c3733,ECUMN_3480,UTI89_C3418,ECP_RS15710,-1.09459706179832,hybA,hydrogenase 2 iron-sulfur protein
PROKKA_01150,b0365,c0472,ECUMN_0405,UTI89_C0384,,-1.0938926900038215,tauA,taurine ABC transporter periplasmic binding protein
PROKKA_04296,,c2396,,,ECP_RS09800,-1.0888756356450704,,Hypothetical protein
PROKKA_03089,b3051,c3799,ECUMN_3533,UTI89_C3487,ECP_RS16020,-1.080012011621463,yqiK,protein YqiK
PROKKA_01010,b0505,c0620,ECUMN_0546,UTI89_C0534,ECP_RS02815,-1.0605464958164488,allA,ureidoglycolate lyase
PROKKA_04031,b2158,c2693,ECUMN_2494,UTI89_C2433,ECP_RS11200,-1.0590103853084065,yeiH,conserved inner membrane protein YeiH
PROKKA_00280,,,ECUMN_1315,,,-1.0551985050814388,,hypothetical protein
PROKKA_02906,b3240,c3995,ECUMN_3714,UTI89_C3671,ECP_RS16925,-1.055087816228999,aaeB,aromatic carboxylic acid efflux pump subunit AaeB
PROKKA_00998,b0516,c0630,ECUMN_0556,UTI89_C0544,ECP_RS02865,-1.054229112072094,allC,allantoate amidohydrolase
PROKKA_01496,b0061,c0073,ECUMN_0062,UTI89_C0066,ECP_RS00320,-1.0532098211670304,araD,L-ribulose-5-phosphate 4-epimerase AraD
PROKKA_03984,b2203,c2741,ECUMN_2538,UTI89_C2481,ECP_RS11430,-1.0475346783575374,napB,periplasmic nitrate reductase cytochrome c550 protein
PROKKA_03943,b2241,c2782,ECUMN_2581,UTI89_C2521,ECP_RS11625,-1.0467056678082014,glpA,anaerobic glycerol-3-phosphate dehydrogenase subunit A
PROKKA_01589,b4568,c5459,ECUMN_5000,UTI89_C5146,ECP_RS23905,-1.0411701841746739,ytjA,DUF1328 domain-containing protein YtjA
PROKKA_04797,b1530,c1952,ECUMN_1798,UTI89_C1749,ECP_RS07710,-1.041074771626611,marR,DNA-binding transcriptional repressor MarR
PROKKA_00841,b0693,c0777,,UTI89_C0695,ECP_RS03575,-1.0368385873268855,speF,"ornithine decarboxylase, degradative"
PROKKA_03750,b2461,c2986,ECUMN_2773,UTI89_C2785,ECP_RS12615,-1.0333493445195574,eutP,putative ethanolamine utilization protein EutP with nucleoside triphosphate hydrolase domain
PROKKA_03888,b2298,c2841,ECUMN_2637,UTI89_C2582,ECP_RS11910,-1.0330510210243735,yfcC,putative transporter YfcC
PROKKA_00924,b0613,c0701,ECUMN_0706,UTI89_C0615,ECP_RS03210,-1.0253021857417244,citG,triphosphoribosyl-dephospho-CoA synthase
PROKKA_02639,b3491,c4289,ECUMN_3976,UTI89_C4010,ECP_RS18260,-1.0202592017272565,yhiM,inner membrane protein with a role in acid resistance
PROKKA_03762,b2440,c2974,ECUMN_2761,UTI89_C2773,ECP_RS12555,-1.0165542716180835,eutC,ethanolamine ammonia-lyase subunit beta
PROKKA_00770,b0762,c0838,ECUMN_0847,UTI89_C0759,ECP_RS03895,-1.0133164156284893,acrZ,multidrug efflux pump accessory protein AcrZ
PROKKA_02685,b3442,c4233,ECUMN_3906,,ECP_RS18035,-1.0113533252091016,yhhZ,putative endonuclease YhhZ
PROKKA_00394,,c1610,,,ECP_RS06130,-1.011281922920271,,Conserved hypothetical protein
PROKKA_03827,b2374,c2910,ECUMN_2703,UTI89_C2706,ECP_RS12230,-1.0056330729455822,frc,formyl-CoA transferase
PROKKA_03028,b4471,c3870,ECUMN_3596,UTI89_C3547,ECP_RS16340,-1.0040784904339295,tdcG,L-serine deaminase III
PROKKA_02611,,,,,ECP_RS18405,-1.002302621017678,,
PROKKA_00999,b0515,c0629,ECUMN_0555,UTI89_C0543,ECP_RS02860,-1.0012514888895034,allE,(S)-ureidoglycine aminohydrolase
PROKKA_00925,b0612,c0700,ECUMN_0705,UTI89_C0614,ECP_RS03205,-1.001146914679947,citT,citrate:succinate antiporter
PROKKA_03328,b2870,c3448,ECUMN_3213,UTI89_C3255,ECP_RS14625,-0.9992404803002686,ygeW,putative carbamoyltransferase YgeW
PROKKA_01151,b0364,c0470,ECUMN_0404,UTI89_C0382,ECP_RS02130,-0.9904366072913493,yaiS,putative deacetylase YaiS
PROKKA_03067,b3071,c3824,ECUMN_3554,UTI89_C3509,ECP_RS16130,-0.9876102865232653,nfeR,DNA-binding transcriptional repressor NfeR
PROKKA_02703,,c4213,,UTI89_C3935,ECP_RS17945,-0.9862710261339049,,Chaperone protein fimC precursor
PROKKA_01975,,c5041,,UTI89_C4639,ECP_RS21840,-0.9789079174760968,,Putative transport sensor protein
PROKKA_03639,b2574,c3098,,UTI89_C2896,ECP_RS13155,-0.9785051261064799,nadB,L-aspartate oxidase
PROKKA_01517,b0040,c0049,ECUMN_0042,UTI89_C0046,ECP_RS00215,-0.9667990648213778,caiT,L-carnitine:gamma-butyrobetaine antiporter
PROKKA_03005,b3137,c3894,ECUMN_3621,UTI89_C3568,ECP_RS16455,-0.9604949822142593,kbaY,"tagatose-1,6-bisphosphate aldolase 1 subunit KbaY"
PROKKA_00043,b1475,c1906,ECUMN_1729,UTI89_C1691,ECP_RS07515,-0.9599967356094712,fdnH,formate dehydrogenase N subunit beta
PROKKA_03027,b3113,c3871,ECUMN_3597,UTI89_C3548,ECP_RS16345,-0.9574706794936501,tdcF,putative enamine/imine deaminase
PROKKA_02877,b3262,c4028,ECUMN_3736,UTI89_C3704,ECP_RS17085,0.9522437993736317,yhdJ,DNA adenine methyltransferase
PROKKA_00932,b0604,c0692,ECUMN_0699,UTI89_C0607,ECP_RS03175,0.9609765224297488,dsbG,protein sulfenic acid reductase DsbG
PROKKA_00467,b1076,c1345,ECUMN_1250,UTI89_C1201,ECP_RS05430,0.9610038209779196,flgE,flagellar hook protein FlgE
PROKKA_03482,,c3304,,UTI89_C3109,ECP_RS13915,0.9626539033465342,,Hypothetical protein
PROKKA_03483,,c3302,,UTI89_C3107,ECP_RS13910,0.9628391064352844,,Hypothetical protein
PROKKA_04335,b1944,c2361,ECUMN_2236,UTI89_C2144,ECP_RS09630,0.9648307164716771,fliL,flagellar protein FliL
PROKKA_02689,b3439,c4228,ECUMN_3902,UTI89_C3947,ECP_RS18015,0.9689112910753473,yhhW,"quercetin 2,3-dioxygenase"
PROKKA_02064,b3986,c4943,ECUMN_4508,UTI89_C3834,ECP_RS21400,0.9837000444304049,rplL,50S ribosomal subunit protein L12
PROKKA_03032,b3106,c3864,ECUMN_3592,UTI89_C3543,ECP_RS16320,0.9912265719010425,yhaK,bicupin-related protein
PROKKA_04517,b1767,c2171,ECUMN_2056,UTI89_C1963,ECP_RS08760,0.9988511014811601,ansA,L-asparaginase 1
PROKKA_00473,b1070,c1339,ECUMN_1244,UTI89_C1195,ECP_RS05400,1.0163929270386056,flgN,flagellar biosynthesis protein FlgN
PROKKA_01080,b0434,c0546,ECUMN_0473,UTI89_C0458,ECP_RS02465,1.0168814844583018,yajG,putative lipoprotein YajG
PROKKA_00294,b1254,c1720,ECUMN_1553,UTI89_C1454,ECP_RS06615,1.0399660758023115,yciB,inner membrane protein
PROKKA_04333,b1946,c2363,ECUMN_2238,UTI89_C2146,ECP_RS09640,1.049081559223168,fliN,flagellar motor switch protein FliN
PROKKA_01745,b4267,c5368,ECUMN_4799,UTI89_C4874,ECP_RS22995,1.0612723501816947,idnD,L-idonate 5-dehydrogenase
PROKKA_04518,b1766,c2170,ECUMN_2055,UTI89_C1962,ECP_RS08755,1.0724391713491206,sppA,"protease IV, a signal peptide peptidase"
PROKKA_03097,b3039,c3788,ECUMN_3526,UTI89_C3476,ECP_RS15985,1.0890708274656895,ygiD,"4,5-DOPA dioxygenase extradiol"
PROKKA_04307,b1972,c2390,ECUMN_2263,UTI89_C2171,ECP_RS09765,1.0896416084371456,msrQ,periplasmic protein-L-methionine sulfoxide reductase heme binding subunit
PROKKA_02299,b3795,c4717,ECUMN_4321,UTI89_C4353,ECP_RS20280,1.092002685521202,yifK,putative transporter YifK
PROKKA_03201,b2968,c3699,ECUMN_3435,UTI89_C3376,ECP_RS15490,1.1301418318842178,yghD,putative type II secretion system M-type protein
PROKKA_03715,,c3022,,UTI89_C2820,ECP_RS12785,1.1303049274887038,,Conserved hypothetical protein
PROKKA_01287,b0224,c0374,ECUMN_0245,UTI89_C0264,ECP_RS01290,1.1418167521610356,yafK,"L,D-transpeptidase domain-containing protein YafK"
PROKKA_01084,b0430,c0541,ECUMN_0469,UTI89_C0454,ECP_RS02445,1.144820439427375,cyoC,cytochrome bo3 ubiquinol oxidase subunit 3
PROKKA_00053,b1464,c1896,ECUMN_1717,UTI89_C1682,ECP_RS07470,1.1589979749418453,yddE,PF02567 family protein YddE
PROKKA_04074,,c2647,,UTI89_C2391,,1.1896064566456368,,yehK protein
PROKKA_01419,b0131,c0160,ECUMN_0129,UTI89_C0144,ECP_RS00705,1.226103279487221,panD,aspartate 1-decarboxylase proenzyme
PROKKA_04308,b1971,c2389,ECUMN_2262,UTI89_C2170,,1.2448409675429746,msrP,periplasmic protein-L-methionine sulfoxide reductase catalytic subunit
PROKKA_00931,b0605,c0694,ECUMN_0700,UTI89_C0608,ECP_RS03180,1.2665827161857055,ahpC,"alkyl hydroperoxide reductase, AhpC component"
PROKKA_00726,b0804,c0889,ECUMN_0948,UTI89_C0807,ECP_RS04115,1.2722510744507243,ybiX,PKHD-type hydroxylase YbiX
PROKKA_00164,b1305,c1775,ECUMN_1612,UTI89_C1575,ECP_RS06905,1.2740699786360778,pspB,phage shock protein B
PROKKA_03695,b2518,c3041,ECUMN_2838,UTI89_C2840,ECP_RS12875,1.3630538660235716,ndk,nucleoside diphosphate kinase
PROKKA_00488,b1055,c1321,ECUMN_1230,UTI89_C1179,ECP_RS05325,1.388042653252257,yceA,UPF0176 protein YceA
PROKKA_04566,b1722,c2120,ECUMN_2011,UTI89_C1915,ECP_RS08515,1.4673720696844803,ydiY,acid-inducible putative outer membrane protein YdiY
PROKKA_00725,b0805,c0890,ECUMN_0949,UTI89_C0808,ECP_RS04120,1.9381972100731126,fiu,putative iron siderophore outer membrane transporter
