,K-12,CFT073,UMN026,UTI89,536,Residual,Gene Name,Description
PROKKA_03484,b2740,c3301,,UTI89_C3106,,-1.787877910191888,ygbN,putative transporter YgbN
PROKKA_00029,b1492,c1921,ECUMN_1746,UTI89_C1706,ECP_RS07575,-1.782951504039888,gadC,L-glutamate:4-aminobutyrate antiporter
PROKKA_03488,b2736,c3297,,UTI89_C3102,ECP_RS13885,-1.7750732570766048,ygbJ,putative L-threonate dehydrogenase
PROKKA_04053,b2135,c2667,ECUMN_2469,UTI89_C2409,ECP_RS11070,-1.7689404184887758,yohC,putative inner membrane protein
PROKKA_00048,b1469,c1901,ECUMN_1722,UTI89_C1687,ECP_RS07495,-1.7468282867941267,narU,nitrate/nitrite transporter NarU
PROKKA_03309,b4684,c3466,,UTI89_C3273,ECP_RS14720,-1.7464270772566564,yqfG,uncharacterized protein YqfG
PROKKA_01060,b0453,c0572,ECUMN_0493,UTI89_C0481,,-1.7333177277384941,ybaY,PF09619 family lipoprotein YbaY
PROKKA_04500,b1784,c2189,ECUMN_2073,UTI89_C1980,ECP_RS08845,-1.7242426752510778,yeaH,DUF444 domain-containing protein YeaH
PROKKA_02537,b3566,c4386,ECUMN_4077,UTI89_C4107,ECP_RS18700,-1.7110590416216942,xylF,xylose ABC transporter periplasmic binding protein
PROKKA_00780,b0753,c0829,ECUMN_0837,UTI89_C0750,ECP_RS03840,-1.6949448692317632,ybgS,PF13985 family protein YbgS
PROKKA_03180,b4468,,ECUMN_3454,,ECP_RS15585,-1.6821170982287543,glcE,"glycolate dehydrogenase, putative FAD-binding subunit"
PROKKA_04714,b1581,c1971 c4920,ECUMN_1866,UTI89_C1768 UTI89_C4552,ECP_RS07800 ECP_RS21255,-1.6761624566023436,rspA,mandelate racemase/muconate lactonizing enzyme family protein RspA
PROKKA_04382,b1897,c2311,ECUMN_2192,UTI89_C2098,ECP_RS09425,-1.6671040253567817,otsB,trehalose-6-phosphate phosphatase
PROKKA_04541,b1747,c2147,ECUMN_2036,UTI89_C1942,ECP_RS08640,-1.6650007039066514,astA,arginine N-succinyltransferase
PROKKA_00396,b1166,c1609,ECUMN_1451,,ECP_RS06120,-1.6487960929616006,ariR,"regulator of acid resistance, influenced by indole"
PROKKA_01784,b4227,c5325,ECUMN_4761,UTI89_C4832,ECP_RS22800,-1.6315037110466608,ytfQ,galactofuranose ABC transporter periplasmic binding protein
PROKKA_02423,b3670,c4595,ECUMN_4201,UTI89_C4226,ECP_RS19680,-1.6312470183454364,ilvN,acetohydroxy acid synthase I subunit IlvN
PROKKA_04549,b1739,c2138,ECUMN_2028,UTI89_C1933,ECP_RS08595,-1.6271295622049289,osmE,osmotically-inducible lipoprotein OsmE
PROKKA_03570,b2663,c3211,ECUMN_2987,UTI89_C3018,ECP_RS13435,-1.6254082302890815,gabP,4-aminobutyrate:H(+) symporter
PROKKA_03639,b2574,c3098,,UTI89_C2896,ECP_RS13155,-1.6253020468613646,nadB,L-aspartate oxidase
PROKKA_04543,b1745,c2145,ECUMN_2034,UTI89_C1940,ECP_RS08630,-1.6175656536844205,astB,N-succinylarginine dihydrolase
PROKKA_02614,b3510,c4321,ECUMN_4010,UTI89_C4041,ECP_RS18390,-1.6109949325902138,hdeA,"HdeA monomer, chaperone active form"
PROKKA_00033,b1482,c1916,ECUMN_1736,UTI89_C1701,ECP_RS07555,-1.6026801281326952,osmC,osmotically inducible peroxiredoxin
PROKKA_03411,b2809,c3380,ECUMN_3139,UTI89_C3182,ECP_RS14265,-1.5935508297198693,ygdI,DUF903 domain-containing lipoprotein YgdI
PROKKA_00532,b1003,c1139,ECUMN_1185,UTI89_C1066,ECP_RS05070,-1.5730288805277581,yccJ,PF13993 family protein YccJ
PROKKA_02636,b3494,c4292,ECUMN_3979,UTI89_C4013,ECP_RS18275,-1.5727321771596015,uspB,putative universal stress (ethanol tolerance) protein B
PROKKA_02772,b3362,c4137,ECUMN_3825,UTI89_C3865,ECP_RS17610,-1.5726704222964005,yhfG,DUF2559 domain-containing protein YhfG
PROKKA_00364,b1195,c1645,ECUMN_1486,UTI89_C1382,ECP_RS06285,-1.5701435038741214,ymgE,PF04226 family protein YmgE
PROKKA_03571,b2662,c3210,ECUMN_2986,UTI89_C3017,ECP_RS13430,-1.5687959934850335,gabT,4-aminobutyrate aminotransferase GabT
PROKKA_03339,b2841,c3438,ECUMN_3169,,ECP_RS14570,-1.559980695279347,araE,arabinose:H(+) symporter
PROKKA_04122,b2080,c2606,ECUMN_2418,UTI89_C2355,ECP_RS10790,-1.5578498442579785,yegP,DUF1508 domain-containing protein YegP
PROKKA_00575,b0953,,ECUMN_1142,UTI89_C1018,ECP_RS04830,-1.5467300103890147,rmf,ribosome modulation factor
PROKKA_02515,b3588,c4408,ECUMN_4103,UTI89_C4129,ECP_RS18800,-1.5450870013546962,aldB,aldehyde dehydrogenase B
PROKKA_00076,b1443,c1867,ECUMN_1691,UTI89_C1662,ECP_RS07360,-1.5181671122957336,ydcV,putative ABC transporter membrane subunit YdcV
PROKKA_03485,b2739,c3300,,UTI89_C3105,ECP_RS13900,-1.515586675549092,ygbM,putative 2-oxo-tetronate isomerase YgbM
PROKKA_00531,b1004,c1140,ECUMN_1186,UTI89_C1067,ECP_RS05075,-1.51358143048192,wrbA,NAD(P)H:quinone oxidoreductase
PROKKA_00077,b1442,c1866,ECUMN_1690,UTI89_C1661,ECP_RS07355,-1.5108447655232589,ydcU,putative ABC transporter membrane subunit YdcU
PROKKA_02536,b3567,c4387,ECUMN_4078,UTI89_C4108,ECP_RS18705,-1.5049660110140497,xylG,xylose ABC transporter ATP binding subunit
PROKKA_04380,b1900,c2313,ECUMN_2194,UTI89_C2100,ECP_RS09435,-1.5026888653848356,araG,arabinose ABC transporter ATP binding subunit
PROKKA_00784,b0750,c0825,ECUMN_0834,UTI89_C0747,ECP_RS03825,-1.5011967341459365,nadA,quinolinate synthase
PROKKA_04650,b1646,c2038,ECUMN_1937,UTI89_C1837,ECP_RS08120,-1.5011359055651567,sodC,superoxide dismutase (Cu-Zn)
PROKKA_01496,b0061,c0073,ECUMN_0062,UTI89_C0066,ECP_RS00320,-1.49888149080657,araD,L-ribulose-5-phosphate 4-epimerase AraD
PROKKA_00371,b1188,c1637,ECUMN_1477,UTI89_C1374,ECP_RS06250,-1.493896495312608,ycgB,PF04293 family protein YcgB
PROKKA_01170,b0329,c0449,ECUMN_0373,UTI89_C0362,ECP_RS02020,-1.4920992085561926,yahO,DUF1471 domain-containing protein YahO
PROKKA_00395,b1167,,ECUMN_1452,,ECP_RS06125,-1.4919242557418486,ymgC,protein YmgC
PROKKA_00051,b1466,c1898,ECUMN_1719,UTI89_C1684,ECP_RS07480,-1.490941146493037,narW,"NarW, putative private chaperone for NarZ nitrate reductase subunit"
PROKKA_00055,b1462,c1894,ECUMN_1713,UTI89_C1680,ECP_RS07460,-1.4870258645472665,yddH,flavin reductase-like protein YddH
PROKKA_03572,b2661,c3209,ECUMN_2985,UTI89_C3016,ECP_RS13425,-1.4857049306802381,gabD,NADP(+)-dependent succinate-semialdehyde dehydrogenase
PROKKA_00356,b1197,c1654,ECUMN_1493,UTI89_C1389,ECP_RS06320,-1.4853787988074543,treA,periplasmic trehalase
PROKKA_03568,b2665,c3213,ECUMN_2989,UTI89_C3020,ECP_RS13445,-1.4607947280217721,kbp,K(+) binding protein
PROKKA_01479,b0071,c0087,ECUMN_0073,UTI89_C0078,ECP_RS00380,-1.4588698054006612,leuD,3-isopropylmalate dehydratase subunit LeuD
PROKKA_03147,b3003,c3739,ECUMN_3487,UTI89_C3424,ECP_RS15745,-1.457969960597613,yghA,NADP(+)-dependent aldehyde reductase
PROKKA_03754,b2457,c2982,ECUMN_2769,UTI89_C2781,ECP_RS12595,-1.4564002374236709,eutM,"putative structural protein, ethanolamine utilization microcompartment"
PROKKA_00050,b1467,c1899,ECUMN_1720,UTI89_C1685,ECP_RS07485,-1.4550479587884242,narY,nitrate reductase Z subunit beta
PROKKA_03573,b2660,c3208,ECUMN_2984,UTI89_C3015,ECP_RS13420,-1.450324585969185,lhgO,L-2-hydroxyglutarate oxidase
PROKKA_03487,b2737,c3298,,UTI89_C3103,ECP_RS13890,-1.4451824400068514,ygbK,putative 3-oxo-tetronate kinase YgbK
PROKKA_04381,b4460,c2312,ECUMN_2193,UTI89_C2099,ECP_RS09430,-1.4408554969087688,araH,arabinose ABC transporter membrane subunit
PROKKA_02109,b3950,c4908,ECUMN_4481,UTI89_C4540,ECP_RS21200,-1.4265881617873135,frwB,putative PTS enzyme IIB component FrwB
PROKKA_01024,b0486,c0606,ECUMN_0525,UTI89_C0517,ECP_RS02745,-1.4252225680524457,ybaT,putative transporter YbaT
PROKKA_04383,b1896,c2310,ECUMN_2191,UTI89_C2097,ECP_RS09420,-1.4230233949556204,otsA,trehalose-6-phosphate synthase
PROKKA_03747,b2464,c2989,ECUMN_2776,UTI89_C2788,ECP_RS12630,-1.4168754058221447,talA,transaldolase A
PROKKA_01782,b4230,c5327,ECUMN_4763,UTI89_C4834,ECP_RS22810,-1.4115694406907644,ytfT,galactofuranose ABC transporter putative membrane subunit YtfT
PROKKA_03884,b2302,c2845,ECUMN_2642,UTI89_C2586,ECP_RS11930,-1.4098444112380535,yfcG,disulfide reductase
PROKKA_00079,b1440,c1864,ECUMN_1688,UTI89_C1659,ECP_RS07345,-1.401845052142856,ydcS,putative ABC transporter periplasmic binding protein/polyhydroxybutyrate synthase
PROKKA_00075,b1444,c1869,ECUMN_1692,UTI89_C1663,ECP_RS07365,-1.400881401467486,patD,gamma-aminobutyraldehyde dehydrogenase
PROKKA_03486,b2738,c3299,,UTI89_C3104,ECP_RS13895,-1.3992359271314991,ygbL,putative 3-oxo-tetronate 4-phosphate decarboxylase YgbL
PROKKA_04626,b1668,c2060,ECUMN_1957,UTI89_C1860,ECP_RS08235,-1.386981207296948,ydhS,FAD/NAD(P) binding domain-containing protein YdhS
PROKKA_02405,b4478,,ECUMN_4223,UTI89_C4243,ECP_RS19770,-1.3861268546815577,dgoD,D-galactonate dehydratase
PROKKA_04715,b1580,c1970,ECUMN_1865,UTI89_C1767,ECP_RS07795,-1.3826728717127847,rspB,putative zinc-binding dehydrogenase RspB
PROKKA_04374,b1906,c2322,ECUMN_2201,UTI89_C2107,ECP_RS09470,-1.3812359660877083,yecH,DUF2492 domain-containing protein YecH
PROKKA_02108,b3951,c4910,ECUMN_4482,UTI89_C4542,ECP_RS21205,-1.3811477223911708,pflD,putative formate acetyltransferase 2
PROKKA_00049,b1468,c1900,ECUMN_1721,UTI89_C1686,ECP_RS07490,-1.3774281254339276,narZ,nitrate reductase Z subunit alpha
PROKKA_04544,b1744,c2144,ECUMN_2033,UTI89_C1939,ECP_RS08625,-1.3748120010262093,astE,succinylglutamate desuccinylase
PROKKA_00098,,c1843,ECUMN_1664,UTI89_C1638,ECP_RS07235,-1.3714642180339114,,Glyceraldehyde 3-phosphate dehydrogenase A
PROKKA_00078,b1441,c1865,ECUMN_1689,UTI89_C1660,ECP_RS07350,-1.3702918805483368,ydcT,putative ABC transporter ATP-binding protein YdcT
PROKKA_01895,b4126,c5133,ECUMN_4659,UTI89_C4720,ECP_RS22265,-1.3698818209579657,yjdI,PF06902 family protein YjdI
PROKKA_04321,b1957,c2376,ECUMN_2249,,ECP_RS09690,-1.3670776405886125,yodC,protein YodC
PROKKA_02604,b3516,c4327,ECUMN_4017,UTI89_C4048,ECP_RS18425,-1.3623002609590644,gadX,DNA-binding transcriptional dual regulator GadX
PROKKA_04807,b1519,c1942,ECUMN_1787,UTI89_C1738,ECP_RS07655,-1.3524190094155268,tam,trans-aconitate 2-methyltransferase
PROKKA_00394,,c1610,,,ECP_RS06130,-1.3519128358292027,,Conserved hypothetical protein
PROKKA_02869,,c4034,ECUMN_3743,UTI89_C3710,ECP_RS17125,-1.3483711589662817,yhdW,Putative amino-acid ABC transporter binding protein yhdW precursor
PROKKA_01960,b4069,c5064,ECUMN_4605,UTI89_C4659,ECP_RS21925,-1.3476871591358803,acs,acetyl-CoA synthetase (AMP-forming)
PROKKA_04323,b1955,c2373,ECUMN_2246,UTI89_C2156,ECP_RS09680,-1.333658890633338,yedP,putative mannosyl-3-phosphoglycerate phosphatase
PROKKA_04352,b1927,c2342,ECUMN_2219,UTI89_C2128,ECP_RS09540,-1.329205996554105,amyA,alpha-amylase
PROKKA_00491,b1051,c1318,ECUMN_1227,UTI89_C1176,ECP_RS05305,-1.3286406972736104,msyB,acidic protein that suppresses heat sensitivity of a secY mutant
PROKKA_01868,b4149,c5237,ECUMN_4685,UTI89_C4749,ECP_RS22395,-1.327213562415714,blc,outer membrane lipoprotein Blc
PROKKA_00216,b1258,c1724,ECUMN_1557,UTI89_C1527,ECP_RS06635,-1.3256058429985682,yciF,DUF892 domain-containing protein YciF
PROKKA_01894,b4127,c5134,ECUMN_4660,UTI89_C4721,ECP_RS22270,-1.3221333633846764,yjdJ,putative N-acetyltransferase YjdJ
PROKKA_00657,b0871,c1004,ECUMN_1066,UTI89_C0874,ECP_RS04460,-1.3148876887862735,poxB,pyruvate oxidase
PROKKA_03150,,c3736,ECUMN_3484,UTI89_C3421,ECP_RS15730,-1.3114571261203756,,Putative enzyme
PROKKA_02613,b3511,c4322,ECUMN_4011,UTI89_C4042,ECP_RS18395,-1.3111437475633692,hdeD,acid-resistance membrane protein
PROKKA_03185,b2975,c3704,ECUMN_3450,UTI89_C3391,ECP_RS15565,-1.306479846299116,glcA,glycolate/lactate:H(+) symporter GlcA
PROKKA_00183,b1285,c1756,ECUMN_1589,UTI89_C1558,ECP_RS06805,-1.3004732493071849,pdeR,cyclic di-GMP phosphodiesterase PdeR
PROKKA_04057,b2131,c2661,ECUMN_2465,UTI89_C2404,ECP_RS11050,-1.2981197312754174,osmF,glycine betaine ABC transporter periplasmic binding protein OsmF
PROKKA_00627,b0897,c1034,ECUMN_1092,UTI89_C0970,ECP_RS04595,-1.28561112676242,ycaC,putative hydrolase
PROKKA_03181,b4467,,ECUMN_3453,,ECP_RS15580,-1.282173814811817,glcF,"glycolate dehydrogenase, putative iron-sulfur subunit"
PROKKA_00742,b0788,c0871,ECUMN_0932,UTI89_C0789,ECP_RS04035,-1.2819331823387745,ybhN,conserved inner membrane protein YbhN
PROKKA_00722,b0808,c0893,ECUMN_0952,UTI89_C0811,ECP_RS04135,-1.2783618964617633,ybiO,moderate conductance mechanosensitive channel
PROKKA_03038,b3099,c3857,ECUMN_3583,UTI89_C3537,ECP_RS16290,-1.2770798804599446,yqjE,conserved inner membrane protein YqjE
PROKKA_04871,,,ECUMN_p10130,UTI89_P081,,-1.2726363857814296,,hypothetical protein
PROKKA_01590,b4376,c5457,ECUMN_4999,UTI89_C5145,ECP_RS23900,-1.2710717983753916,osmY,periplasmic chaperone OsmY
PROKKA_03350,b2833,c3428,ECUMN_3160,UTI89_C3237,ECP_RS14530,-1.2705949190879442,ygdR,DUF903 domain-containing lipoprotein YgdR
PROKKA_02404,b4477,,ECUMN_4224,UTI89_C4244,ECP_RS19775,-1.267412658787004,dgoA,2-dehydro-3-deoxy-6-phosphogalactonate aldolase
PROKKA_02773,b3361,c4136,ECUMN_3824,UTI89_C3864,ECP_RS17605,-1.267289076847284,fic,putative adenosine monophosphate--protein transferase Fic
PROKKA_04275,,c2415,,,ECP_RS09890,-1.2644490379838642,,Hypothetical protein
PROKKA_01481,b4662,,,,ECP_RS00375,-1.2564487737389265,sgrT,putative inhibitor of the PtsG glucose transporter
PROKKA_00962,b0581,c0667,ECUMN_0671,UTI89_C0581,ECP_RS03045,-1.2505186226398817,ybdK,carboxylate-amine ligase
PROKKA_04062,b2127,c2657,ECUMN_2461,UTI89_C2399,ECP_RS11025,-1.2483776016449462,mlrA,DNA-binding transcriptional activator MlrA
PROKKA_01133,b0384,c0491,ECUMN_0422,UTI89_C0403,ECP_RS02215,-1.2478909004445167,psiF,PsiF family protein
PROKKA_02403,b3693,c4615,ECUMN_4225,UTI89_C4245,ECP_RS19780,-1.2478198218269791,dgoK,2-dehydro-3-deoxygalactonokinase
PROKKA_02916,b3230,c3984,ECUMN_3704,UTI89_C3660,ECP_RS16875,1.2516055983327745,rpsI,30S ribosomal subunit protein S9
PROKKA_02819,b3316,c4083,ECUMN_3789,UTI89_C3768,ECP_RS17360,1.2584424283542985,rpsS,30S ribosomal subunit protein S19
PROKKA_02468,b3635,c4459,ECUMN_4149,UTI89_C4178,ECP_RS19015,1.2651024935954585,mutM,DNA-formamidopyrimidine glycosylase
PROKKA_00345,b1208,c1666,ECUMN_1505,UTI89_C1402,ECP_RS06375,1.265187889163967,ispE,4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase
PROKKA_04286,,c2403,,,ECP_RS09835,1.2684926028682382,,Hypothetical protein
PROKKA_02824,b3311,c4076,ECUMN_3784,UTI89_C3761,ECP_RS17335,1.274850125141701,rpsQ,30S ribosomal subunit protein S17
PROKKA_03258,b2935,c3520,ECUMN_3285,UTI89_C3323,ECP_RS14960,1.2759652898998357,tktA,transketolase 1
PROKKA_02363,b3734,c4660,ECUMN_4264,UTI89_C4287,ECP_RS19985,1.2762042686628785,atpA,ATP synthase F1 complex subunit alpha
PROKKA_03711,b2507,c3026,ECUMN_2823,UTI89_C2825,ECP_RS12805,1.2779652056097155,guaA,GMP synthetase
PROKKA_03801,b2400,c2936,ECUMN_2727,UTI89_C2731,ECP_RS12360,1.28371030534834,gltX,glutamate--tRNA ligase
PROKKA_01535,b0023,c0027,ECUMN_0023,UTI89_C0025,ECP_RS00115,1.2856552134138397,rpsT,30S ribosomal subunit protein S20
PROKKA_02794,b3341,c4114,ECUMN_3801,UTI89_C3843,ECP_RS17495,1.2859394486637552,rpsG,30S ribosomal subunit protein S7
PROKKA_00583,b0945,c1081,ECUMN_1134,UTI89_C1010,ECP_RS04790,1.289102673424659,pyrD,"dihydroorotate dehydrogenase, type 2"
PROKKA_00027,b1494,c1923,ECUMN_1748,UTI89_C1708,ECP_RS07590,1.2897014517768572,pqqL,putative zinc peptidase
PROKKA_02839,b3297,c4058,ECUMN_3771,UTI89_C3742,ECP_RS17265,1.2932750725797142,rpsK,30S ribosomal subunit protein S11
PROKKA_04365,b1915,c2329,ECUMN_2207,UTI89_C2116,,1.2946989980461703,yecF,DUF2594 domain-containing protein YecF
PROKKA_02830,b3305,c4068,ECUMN_3778,UTI89_C3753,ECP_RS17305,1.2978424572412988,rplF,50S ribosomal subunit protein L6
PROKKA_01680,b4319,c5399,ECUMN_4926,UTI89_C5016,ECP_RS23610,1.3027220435593154,fimG,type 1 fimbriae minor subunit FimG
PROKKA_00025,b1496,c1925,ECUMN_1750,UTI89_C1710,ECP_RS07600,1.3066401785289938,yddA,ABC transporter family protein YddA
PROKKA_01679,b4320,c5400,ECUMN_4927,UTI89_C5017,ECP_RS23615,1.3122383050428619,fimH,type 1 fimbriae D-mannose specific adhesin
PROKKA_02466,b3637,c4461,ECUMN_4151,UTI89_C4181,ECP_RS19025,1.3136677763750575,rpmB,50S ribosomal subunit protein L28
PROKKA_02394,b3703,c4627,ECUMN_4234,UTI89_C4254,ECP_RS19830,1.316307266803285,rpmH,50S ribosomal subunit protein L34
PROKKA_03463,b2765,c3324,ECUMN_3093,UTI89_C3129,ECP_RS14005,1.3216906817502028,queD,"6-carboxy-5,6,7,8-tetrahydropterin synthase"
PROKKA_02202,b3871,c4820,ECUMN_4395,UTI89_C4460,ECP_RS20775,1.3325821784968288,bipA,"ribosome-dependent GTPase, ribosome assembly factor"
PROKKA_03136,b4469,c3749,ECUMN_3499,UTI89_C3435,ECP_RS15805,1.333262682039475,ygiQ,radical SAM superfamily protein YgiQ
PROKKA_03074,b3065,c3816,ECUMN_3548,UTI89_C3502,ECP_RS16100,1.3406271665094367,rpsU,30S ribosomal subunit protein S21
PROKKA_02319,b3775,c4697,ECUMN_4301,UTI89_C4331,ECP_RS20180,1.3486397613107104,ppiC,peptidyl-prolyl cis-trans isomerase C
PROKKA_03190,,,ECUMN_3445,UTI89_C3386,ECP_RS15540,1.3516863779171633,yghF,"putative secretion pathway protein, C-type protein"
PROKKA_02825,b3310,c4075,ECUMN_3783,UTI89_C3760,ECP_RS17330,1.3561552475869216,rplN,50S ribosomal subunit protein L14
PROKKA_00441,b1101,c1373,ECUMN_1279,UTI89_C1228,ECP_RS05555,1.356652041558604,ptsG,glucose-specific PTS enzyme IIBC component
PROKKA_02829,b3306,c4070,ECUMN_3779,UTI89_C3755,ECP_RS17310,1.3570105615285608,rpsH,30S ribosomal subunit protein S8
PROKKA_00594,b0929,c1071,ECUMN_1123,UTI89_C1001,ECP_RS04745,1.3738502327739956,ompF,outer membrane porin F
PROKKA_02817,b3318,c4087,ECUMN_3791,UTI89_C3771,ECP_RS17370,1.374750476651926,rplW,50S ribosomal subunit protein L23
PROKKA_01685,b4315,c5394,ECUMN_4922,UTI89_C5012,ECP_RS23590,1.3790457212833445,fimI,putative fimbrial protein FimI
PROKKA_03186,b4466,,ECUMN_3448,UTI89_C3389,ECP_RS15555,1.3795323304787508,yghJ,putative lipoprotein YghJ
PROKKA_02793,b3342,c4116,ECUMN_3802,UTI89_C3844,ECP_RS17500,1.3845565476904482,rpsL,30S ribosomal subunit protein S12
PROKKA_02957,b3184,c3941,ECUMN_3664,UTI89_C3617,ECP_RS16680,1.3881697448276593,yhbE,inner membrane protein YhbE
PROKKA_00641,b0884,c1021,ECUMN_1079,UTI89_C0899,ECP_RS04530,1.3882378107806623,infA,translation initiation factor IF-1
PROKKA_01429,b0121,c0150,ECUMN_0118,UTI89_C0134,ECP_RS00655,1.3927629430594652,speE,spermidine synthase
PROKKA_02066,b3984,c4940,ECUMN_4506,UTI89_C3836,ECP_RS21390,1.3955701346650713,rplA,50S ribosomal subunit protein L1
PROKKA_04502,b1782,c2187,ECUMN_2071,UTI89_C1978,ECP_RS08835,1.40640951010868,mipA,scaffolding protein that interacts with murein polymerase and murein hydrolase
PROKKA_02067,b3983,c4939,ECUMN_4505,UTI89_C3838,ECP_RS21385,1.417814501669707,rplK,50S ribosomal subunit protein L11
PROKKA_02840,b3296,c4057,ECUMN_3770,UTI89_C3741,ECP_RS17260,1.4187547568639358,rpsD,30S ribosomal subunit protein S4
PROKKA_04739,b1558,c3185,ECUMN_1845,,,1.4207229232884448,cspF,Qin prophage; cold shock protein CspF
PROKKA_01078,b0436,c0551,ECUMN_0476,UTI89_C0463,ECP_RS02480,1.4391428703017257,tig,trigger factor
PROKKA_01438,b0113,c0140,ECUMN_0110,UTI89_C0125,ECP_RS00615,1.4402498802864547,pdhR,DNA-binding transcriptional dual regulator PdhR
PROKKA_01815,b4203,c5294,ECUMN_4736,UTI89_C4803,ECP_RS22660,1.4488330946522152,rplI,50S ribosomal subunit protein L9
PROKKA_01620,b4354,c5429,ECUMN_4963,UTI89_C5057,ECP_RS23760,1.4556221212781026,btsT,pyruvate:H(+) symporter
PROKKA_04377,b4537,c2316,ECUMN_2197,UTI89_C2103,ECP_RS09450,1.4650152687207794,yecJ,DUF2766 domain-containing protein YecJ
PROKKA_00680,b0849,c0982,ECUMN_1039,UTI89_C0852,ECP_RS04345,1.4710035907437258,grxA,reduced glutaredoxin 1
PROKKA_03722,b2498,c3015,ECUMN_2811,UTI89_C2814,ECP_RS12755,1.47171147943667,upp,uracil phosphoribosyltransferase
PROKKA_00182,b1286,c1757,ECUMN_1590,UTI89_C1559,ECP_RS06815,1.4767851025667391,rnb,RNase II
PROKKA_01112,b0405,c0515,ECUMN_0443,UTI89_C0427,ECP_RS02320,1.4788481229093213,queA,tRNA preQ1(34) S-adenosylmethionine ribosyltransferase-isomerase
PROKKA_02822,b3313,c4079,ECUMN_3786,UTI89_C3764,ECP_RS17345,1.4873856756238777,rplP,50S ribosomal subunit protein L16
PROKKA_04016,b2171,,,,ECP_RS11270,1.489443636511058,yeiP,elongation factor P family protein
PROKKA_02815,b3320,c4091,ECUMN_3793,UTI89_C3775,ECP_RS17380,1.4937145307707786,rplC,50S ribosomal subunit protein L3
PROKKA_04309,b1970,c2388,ECUMN_2261,UTI89_C2169,ECP_RS09755,1.5046004964123088,yedX,hydroxyisourate hydrolase/transthyretin-related protein
PROKKA_02826,b3309,c4073,ECUMN_3782,UTI89_C3758,ECP_RS17325,1.5147498631508796,rplX,50S ribosomal subunit protein L24
PROKKA_02983,b3162,c3916,ECUMN_3644,UTI89_C3590,ECP_RS16565,1.5153512775006273,deaD,ATP-dependent RNA helicase DeaD
PROKKA_03036,b3101,c3859,ECUMN_3585,UTI89_C3539,ECP_RS16300,1.5189134567651918,yqjF,DoxX family protein
PROKKA_00622,b0905,c1043,ECUMN_1098,UTI89_C0976,ECP_RS04620,1.5247644554449482,ycaO,ribosomal protein S12 methylthiotransferase accessory factor YcaO
